osm_id,name,weight
128763496,SANTA CECILIA,3.963
133123143,EL CARARE,2.357
322881221,EL CARMEN,1.019
324215672,CA BLANCA,3.081
615086875,SANTA ANA,2.563
700088229,EL CARMEN,3.4
834249606,VILLA VALENCIA,1.934
834249610,XXX VRA,1.878
834727714,LC 1 LA PLANADA,3.573
836198808,LA MESETA,1.414
836198810,FLORIAN,2.535
836198811,EL ESPINO,2.889
836198812,SAN FRANCISCO,3.606
836198813,LOS BARRANCOS,1.747
836199327,EL PARAISO,2.171
836200962,EL CARMEN,1.757
836200963,VILLA MARIA,2.216
836200964,LA CALERA,2.797
836211525,SAN RAFAEL,1.97
836222397,EL MZITO,1.56
836222398,EL CUCHARO,2.363
836222405,SAN ISIDRO,1.828
935094816,SANTA MARTA,2.556
936227228,SAN MARTIN,4.96
1016856197,SANTA BARBARA,4.061
1016856201,LAS TERRAZAS,1.245
1016856204,LT DE TERRENOL D LT 1,1.018
1016856205,VILLA MARIA,1.445
1016856890,SANTA TERESA,4.75
1016865163,LA ESPERANZA,1.817
1063459829,LA ESPERANZA,3.234
1063459830,VILLA RAMIRO,2.301
1063489475,SAN ISIDRO,1.62
1107630883,DE TERRENO,1.813
1107630884,DE TERRENO,2.571
1107637262,PETROSELE,1.072
1107637264,EL RECUERDO,2.654
1107637265,LOS SAUCES,4.236
1107637266,LA LAGUNA,2.071
1110196471,VALPARAISO,1.876
1110196474,LA ISLA,2.192
1110196475,EL GRADO,2.778
1110225876,SAN VICENTE,1.688
1110225877,LA CANDELARIA,2.483
1110225878,SAN FERNANDO DEL A LT 2,4.631
1110612230,MORTINO,1.02
1110612231,CAMPO HERMOSO,1.758
1110612232,VILLA NUEVA,1.032
1110612233,EL ESPINO,1.566
1110620217,EL GUAYABITO,1.568
1110620218,SAN CARLOS,2.506
1110620221,LA CABANA,1.447
1110620222,MATA DE ROSA,1.225
1110620223,LA SIBERIA,2.404
1110620224,LAS CORRALEJAS,1.112
1110620228,LOS ALISOS,1.953
1110620230,SAN FRANCISCO,2.111
