Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
Pirgua|EL ARRABAL|EL ARRABAL|SAN LUIS
Pirgua|EL BATAN||KR 1 78 62
Pirgua|EL RECREO||EL RECREO
Pirgua|POTOSI|EL RECREO|POTOSI
Pirgua||EL RECREO|EL CARAJO
Pirgua|EL RECREO||EL RECREO
Pirgua|||LC 6
Pirgua|EL PIEDRON|EL RODEO|EL PIEDRON
Pirgua|EL BATAN||LC B1
Pirgua|LAS UVAS||MESA GRANDE
Pirgua|VIA DE ACCESO||VIA DE ACCESO
Pirgua|LAS UVAS||MEDIOLARGO
Pirgua|||EL CEREZO
Pirgua|||ESPERANZA
Pirgua||EL ARRABAL|DE TERRENO
Pirgua|||C
Pirgua|||EL ESPINO
Pirgua|SAN ROQUE||SAN ROQUE
Pirgua|CASABLANCA|LAS UVAS|EL ESPINO
Pirgua|LAS UVAS||EL ESPINO
Chorro Blanco - La Primavera|LA ACACIA||SAN RAFAEL
Runta Parte Alta|||LOS NARDOS
Runta|||EL CEREZO 1
Chorro Blanco - La Primavera|CA|EL EDEN|EL ARENAL
Runta Parte Alta|VILLA NATIVIDAD|TERRENO|VILLA NATIVIDAD
Runta Parte Alta||BRISAS DEL ORIENTE|SANTA INES
Runta Parte Alta|||SAN MARTIN
Runta Parte Alta|EL DIAMANTE||EL DIAMANTE
Runta Parte Alta|EL MORAL|LA PALMA|LAS ACACIAS
Runta Parte Alta|EL MORAL|LA PALMA|EL MORAL
Runta Parte Alta|EL MORAL|LAS MANITAS|LA ARENERA
Runta|LT 10||VILLA MARIA
Runta||LT 10|SANTA ROSITA
Runta Parte Alta|LA CUADRA||LOS LAURELES
Chorro Blanco - La Primavera|EL ALIZAL||XXX CHORRO BLANCO
La Hoya||EL TUNAL|EL TOBO
Chorro Blanco - La Primavera|EL MANANTIAL|EL CARDON|SAN ANTONIO
Chorro Blanco - La Primavera|EL CURUBO|EL ARRAYAN|TIERRABLANCA
Baron Gallero|CA|COREA|ALTAMIRA
Baron Gallero|SAN JUAN|EL ARRABAL|LOS ROMEROS
Baron Gallero|COREA|CA|LA ESPERANZA
Runta|VILLA CECILIA LC 2||A
Runta|KR 12 14 164 S|EL NARANJO|KR 12 14 90 S
Pirgua||LAS UVAS|PILAS
Pirgua|EL ARRABAL|EL ARRABAL|SAN EDUARDO 2
Runta|LA UNION|EL LAURELITO|SAN FRANCISCO
Runta|LA UNION||LA UNION
Runta Parte Alta|LA UNION|PITALITO|POCOALI
Runta||LOS JOVALITOS|SANTA ROSITA
Runta||TRAYECTO 12|LA LAGUNA
Runta|LOS JOVALITOS|TRAYECTO 12|EL RUBI
Runta|LT 10|LA UNION|EL HOYO DEL PARAMO
Runta|LOS JOVALITOS|TRAYECTO 12|LOS JOVALITOS
