osm_id,dir,weight
936227228,SAN MARTIN,4.96
936227228,SAN JOSE,4.736
936227228,EL CEREZO,3.79
936227228,SANTA INES LC 4,2.659
936227228,LA ESTANCIA DEL AL LT 1,2.092
936227228,LA PEDRERA LC 9,1.993
936227228,TERRENO,1.991
936227228,EL DURAZNO,1.777
936227228,EL DURAZNO,1.766
936227228,SANTA ELENA,1.525
936227228,ALTO DE PERRO DON CAMILO,1.204
936227228,BELLAVISTA,1.137
936227228,LAS LOMITAS,1.057
936227228,TERRENO,1.014
936227228,LA DESPENSITA,1.005
936227228,LAS VIGAS,1.004
935094816,SANTA MARTA,2.556
935094816,LAS COLONIAS,1.777
935094816,LA ESPERANZA,1.329
935094816,SAN MIGUEL,1.045
836222405,SAN ISIDRO,1.828
836222398,EL CUCHARO,2.363
836222398,LA CASCADA,2.314
836222398,EL REPOSO,1.94
836222398,LA ESPERANZA,1.806
836222398,SAN ISIDRO,1.151
836222398,EL CUCHARO,1.041
836222398,EL ANGELITO,1.035
836222398,LA ESPERANZA,1.029
836222398,SAN ISIDRO,1.027
836222398,EL PORTUGAL,1.025
836222397,EL MZITO,1.56
836211525,SAN RAFAEL,1.97
836211525,SAN ANTONIO,1.826
836211525,SAN PEDRO,1.31
836211525,SAN RAFAEL,1.187
836211525,SAN BENITO,1.011
836200964,LA CALERA,2.797
836200964,SAN JAVIER,1.959
836200964,DE TERRENO,1.797
836200964,LA CANDELARIA,1.116
836200963,VILLA MARIA,2.216
836200963,LA ESPERANZA,2.117
836200963,LA ESPERANZA,1.462
836200963,DE TERRENO,1.019
836200962,EL CARMEN,1.757
836200962,LA LAGUNA,1.039
836199327,EL PARAISO,2.171
836198813,LOS BARRANCOS,1.747
836198813,BUENAVISTA,1.686
836198812,SAN FRANCISCO,3.606
836198812,LA ESTANCIA,2.275
836198812,AGUA REGADA,1.52
836198812,LA REGADERA,1.082
836198812,SAN FELIPE,1.075
836198812,CASABLANCA,1.069
836198812,SANTA INES,1.024
836198811,EL ESPINO,2.889
836198811,SANTA TERESA,2.648
836198811,VILLA ROSITA,1.764
836198811,SANTA TERESA,1.134
836198810,FLORIAN,2.535
836198810,EL TRIANGULO,1.047
836198808,LA MESETA,1.414
836198808,CEBADERO,1.207
834727714,LC 1 LA PLANADA,3.573
834249610,XXX VRA,1.878
834249610,LA SIBERIA,1.618
834249610,LA VEGA,1.057
834249606,VILLA VALENCIA,1.934
834249606,VILLA VALENCIA,1.801
834249606,VILLA LILA,1.504
700088229,EL CARMEN,3.4
615086875,SANTA ANA,2.563
615086875,SAN ISIDRO,1.781
615086875,DE TERRENO,1.581
615086875,EL RECUERDO,1.039
615086875,DE TERRENO,1.035
615086875,LA VILLA,1.017
324215672,CA BLANCA,3.081
324215672,EL RECUERDO,2.746
324215672,EL RECUERDO,1.988
324215672,LA CASTELLANA,1.887
324215672,LA PRIMVERA,1.855
324215672,TERRENO LT 6,1.839
324215672,TERRENO LT 6,1.06
322881221,EL CARMEN,1.019
133123143,EL CARARE,2.357
128763496,SANTA CECILIA,3.963
128763496,SAN FRANCISCO,2.772
128763496,SANTA BARBARA,2.229
128763496,SAN JOSE,2.098
128763496,DE TERRENO,2.014
128763496,LA ESMERALDA,1.804
128763496,SAN JUAN,1.312
1110620230,SAN FRANCISCO,2.111
1110620230,LA FLORIDA,1.75
1110620230,MEDIA LUNA,1.433
1110620230,EL PEDREGAL,1.054
1110620228,LOS ALISOS,1.953
1110620224,LAS CORRALEJAS,1.112
1110620224,SAN ANDRES,1.032
1110620223,LA SIBERIA,2.404
1110620223,EL PORVENIR,2.305
1110620223,EL ESPINO,1.372
